
Scan Time:     2014-12-07 13:56:13
Target File:   J180ND2H.F4
MD5 Checksum:  26e8d41213d7ecbe5ea671fc5868462e

DECIMAL       HEXADECIMAL     ENTROPY
--------------------------------------------------------------------------------
0             0x0             0.090950
1024          0x400           0.000000
2048          0x800           0.000000
3072          0xC00           0.070643
4096          0x1000          0.293325
5120          0x1400          0.000000
6144          0x1800          0.000000
7168          0x1C00          0.000000
8192          0x2000          0.000000
9216          0x2400          0.000000
10240         0x2800          0.000000
11264         0x2C00          0.000000
12288         0x3000          0.000000
13312         0x3400          0.000000
14336         0x3800          0.000000
15360         0x3C00          0.000000
16384         0x4000          0.207698
17408         0x4400          0.000000
18432         0x4800          0.000000
19456         0x4C00          0.000000
20480         0x5000          0.000000
21504         0x5400          0.000000
22528         0x5800          0.000000
23552         0x5C00          0.000000
24576         0x6000          0.000000
25600         0x6400          0.000000
26624         0x6800          0.000000
27648         0x6C00          0.000000
28672         0x7000          0.000000
29696         0x7400          0.000000
30720         0x7800          0.000000
31744         0x7C00          0.000000
32768         0x8000          0.213664
33792         0x8400          0.235122
34816         0x8800          0.300555
35840         0x8C00          0.277760
36864         0x9000          0.239290
37888         0x9400          0.000000
38912         0x9800          0.000000
39936         0x9C00          0.000000
40960         0xA000          0.000000
41984         0xA400          0.000000
43008         0xA800          0.000000
44032         0xAC00          0.000000
45056         0xB000          0.000000
46080         0xB400          0.000000
47104         0xB800          0.000000
48128         0xBC00          0.000000
49152         0xC000          0.006005
50176         0xC400          0.000000
51200         0xC800          0.000000
52224         0xCC00          0.000000
53248         0xD000          0.000000
54272         0xD400          0.000000
55296         0xD800          0.000000
56320         0xDC00          0.000000
57344         0xE000          0.000000
58368         0xE400          0.000000
59392         0xE800          0.000000
60416         0xEC00          0.000000
61440         0xF000          0.000000
62464         0xF400          0.000000
63488         0xF800          0.000000
64512         0xFC00          0.000000
65536         0x10000         0.006005
66560         0x10400         0.000000
67584         0x10800         0.000000
68608         0x10C00         0.000000
69632         0x11000         0.000000
70656         0x11400         0.000000
71680         0x11800         0.000000
72704         0x11C00         0.000000
73728         0x12000         0.000000
74752         0x12400         0.000000
75776         0x12800         0.000000
76800         0x12C00         0.000000
77824         0x13000         0.000000
78848         0x13400         0.000000
79872         0x13800         0.000000
80896         0x13C00         0.000000
81920         0x14000         0.006005
82944         0x14400         0.000000
83968         0x14800         0.000000
84992         0x14C00         0.000000
86016         0x15000         0.000000
87040         0x15400         0.000000
88064         0x15800         0.000000
89088         0x15C00         0.000000
90112         0x16000         0.000000
91136         0x16400         0.000000
92160         0x16800         0.000000
93184         0x16C00         0.000000
94208         0x17000         0.000000
95232         0x17400         0.000000
96256         0x17800         0.000000
97280         0x17C00         0.000000
98304         0x18000         0.006005
99328         0x18400         0.000000
100352        0x18800         0.000000
101376        0x18C00         0.000000
102400        0x19000         0.000000
103424        0x19400         0.000000
104448        0x19800         0.000000
105472        0x19C00         0.000000
106496        0x1A000         0.000000
107520        0x1A400         0.000000
108544        0x1A800         0.000000
109568        0x1AC00         0.000000
110592        0x1B000         0.000000
111616        0x1B400         0.000000
112640        0x1B800         0.000000
113664        0x1BC00         0.000000
114688        0x1C000         0.006005
115712        0x1C400         0.000000
116736        0x1C800         0.000000
117760        0x1CC00         0.000000
118784        0x1D000         0.000000
119808        0x1D400         0.000000
120832        0x1D800         0.000000
121856        0x1DC00         0.000000
122880        0x1E000         0.000000
123904        0x1E400         0.000000
124928        0x1E800         0.000000
125952        0x1EC00         0.000000
126976        0x1F000         0.000000
128000        0x1F400         0.000000
129024        0x1F800         0.000000
130048        0x1FC00         0.000000
131072        0x20000         0.006005
132096        0x20400         0.000000
133120        0x20800         0.000000
134144        0x20C00         0.000000
135168        0x21000         0.000000
136192        0x21400         0.000000
137216        0x21800         0.000000
138240        0x21C00         0.000000
139264        0x22000         0.000000
140288        0x22400         0.000000
141312        0x22800         0.000000
142336        0x22C00         0.000000
143360        0x23000         0.000000
144384        0x23400         0.000000
145408        0x23800         0.000000
146432        0x23C00         0.000000
147456        0x24000         0.006005
148480        0x24400         0.000000
149504        0x24800         0.000000
150528        0x24C00         0.000000
151552        0x25000         0.000000
152576        0x25400         0.000000
153600        0x25800         0.000000
154624        0x25C00         0.000000
155648        0x26000         0.000000
156672        0x26400         0.000000
157696        0x26800         0.000000
158720        0x26C00         0.000000
159744        0x27000         0.000000
160768        0x27400         0.000000
161792        0x27800         0.000000
162816        0x27C00         0.000000
163840        0x28000         0.006005
164864        0x28400         0.000000
165888        0x28800         0.000000
166912        0x28C00         0.000000
167936        0x29000         0.000000
168960        0x29400         0.000000
169984        0x29800         0.000000
171008        0x29C00         0.000000
172032        0x2A000         0.000000
173056        0x2A400         0.000000
174080        0x2A800         0.000000
175104        0x2AC00         0.000000
176128        0x2B000         0.000000
177152        0x2B400         0.000000
178176        0x2B800         0.000000
179200        0x2BC00         0.000000
180224        0x2C000         0.006005
181248        0x2C400         0.000000
182272        0x2C800         0.000000
183296        0x2CC00         0.000000
184320        0x2D000         0.000000
185344        0x2D400         0.000000
186368        0x2D800         0.000000
187392        0x2DC00         0.000000
188416        0x2E000         0.000000
189440        0x2E400         0.000000
190464        0x2E800         0.000000
191488        0x2EC00         0.000000
192512        0x2F000         0.000000
193536        0x2F400         0.000000
194560        0x2F800         0.000000
195584        0x2FC00         0.000000
196608        0x30000         0.006005
197632        0x30400         0.000000
198656        0x30800         0.000000
199680        0x30C00         0.000000
200704        0x31000         0.000000
201728        0x31400         0.000000
202752        0x31800         0.000000
203776        0x31C00         0.000000
204800        0x32000         0.000000
205824        0x32400         0.000000
206848        0x32800         0.000000
207872        0x32C00         0.000000
208896        0x33000         0.000000
209920        0x33400         0.000000
210944        0x33800         0.000000
211968        0x33C00         0.000000
212992        0x34000         0.006005
214016        0x34400         0.000000
215040        0x34800         0.000000
216064        0x34C00         0.000000
217088        0x35000         0.000000
218112        0x35400         0.000000
219136        0x35800         0.000000
220160        0x35C00         0.000000
221184        0x36000         0.000000
222208        0x36400         0.000000
223232        0x36800         0.000000
224256        0x36C00         0.000000
225280        0x37000         0.000000
226304        0x37400         0.000000
227328        0x37800         0.000000
228352        0x37C00         0.000000
229376        0x38000         0.006005
230400        0x38400         0.000000
231424        0x38800         0.000000
232448        0x38C00         0.000000
233472        0x39000         0.000000
234496        0x39400         0.000000
235520        0x39800         0.000000
236544        0x39C00         0.000000
237568        0x3A000         0.000000
238592        0x3A400         0.000000
239616        0x3A800         0.000000
240640        0x3AC00         0.000000
241664        0x3B000         0.000000
242688        0x3B400         0.000000
243712        0x3B800         0.000000
244736        0x3BC00         0.000000
245760        0x3C000         0.006005
246784        0x3C400         0.000000
247808        0x3C800         0.000000
248832        0x3CC00         0.000000
249856        0x3D000         0.000000
250880        0x3D400         0.000000
251904        0x3D800         0.000000
252928        0x3DC00         0.000000
253952        0x3E000         0.000000
254976        0x3E400         0.000000
256000        0x3E800         0.000000
257024        0x3EC00         0.000000
258048        0x3F000         0.000000
259072        0x3F400         0.000000
260096        0x3F800         0.000000
261120        0x3FC00         0.000000
262144        0x40000         0.006005
263168        0x40400         0.000000
264192        0x40800         0.000000
265216        0x40C00         0.000000
266240        0x41000         0.000000
267264        0x41400         0.000000
268288        0x41800         0.000000
269312        0x41C00         0.000000
270336        0x42000         0.000000
271360        0x42400         0.000000
272384        0x42800         0.000000
273408        0x42C00         0.000000
274432        0x43000         0.000000
275456        0x43400         0.000000
276480        0x43800         0.000000
277504        0x43C00         0.000000
278528        0x44000         0.006005
279552        0x44400         0.000000
280576        0x44800         0.000000
281600        0x44C00         0.000000
282624        0x45000         0.000000
283648        0x45400         0.000000
284672        0x45800         0.000000
285696        0x45C00         0.000000
286720        0x46000         0.000000
287744        0x46400         0.000000
288768        0x46800         0.000000
289792        0x46C00         0.000000
290816        0x47000         0.000000
291840        0x47400         0.000000
292864        0x47800         0.000000
293888        0x47C00         0.000000
294912        0x48000         0.006005
295936        0x48400         0.000000
296960        0x48800         0.000000
297984        0x48C00         0.000000
299008        0x49000         0.000000
300032        0x49400         0.000000
301056        0x49800         0.000000
302080        0x49C00         0.000000
303104        0x4A000         0.000000
304128        0x4A400         0.000000
305152        0x4A800         0.000000
306176        0x4AC00         0.000000
307200        0x4B000         0.000000
308224        0x4B400         0.000000
309248        0x4B800         0.000000
310272        0x4BC00         0.000000
311296        0x4C000         0.006005
312320        0x4C400         0.000000
313344        0x4C800         0.000000
314368        0x4CC00         0.000000
315392        0x4D000         0.000000
316416        0x4D400         0.000000
317440        0x4D800         0.000000
318464        0x4DC00         0.000000
319488        0x4E000         0.000000
320512        0x4E400         0.000000
321536        0x4E800         0.000000
322560        0x4EC00         0.000000
323584        0x4F000         0.000000
324608        0x4F400         0.000000
325632        0x4F800         0.000000
326656        0x4FC00         0.000000
327680        0x50000         0.006005
328704        0x50400         0.000000
329728        0x50800         0.000000
330752        0x50C00         0.000000
331776        0x51000         0.000000
332800        0x51400         0.000000
333824        0x51800         0.000000
334848        0x51C00         0.000000
335872        0x52000         0.000000
336896        0x52400         0.000000
337920        0x52800         0.000000
338944        0x52C00         0.000000
339968        0x53000         0.000000
340992        0x53400         0.000000
342016        0x53800         0.000000
343040        0x53C00         0.000000
344064        0x54000         0.006005
345088        0x54400         0.000000
346112        0x54800         0.000000
347136        0x54C00         0.000000
348160        0x55000         0.000000
349184        0x55400         0.000000
350208        0x55800         0.000000
351232        0x55C00         0.000000
